A,B,C,D,E,F,G,H
📂 MY CATEGORIES,,,,,,,
,,,,,,,
Category Name,Description,Target Margin %,Reorder Days,Status,Products Count,Last Updated,Notes
,,,,,,,
Lipstick,Lip colors and treatments,45%,14,✅ Active,28,2024-01-15,Bestselling category
Foundation,Base makeup products,50%,21,✅ Active,15,2024-01-14,High margin focus
Skincare,Cleansers serums moisturizers,40%,30,✅ Active,22,2024-01-13,Growing demand
Fragrance,Perfumes and body sprays,35%,45,✅ Active,12,2024-01-12,Luxury items
Eye Makeup,Eyeshadows mascara eyeliner,42%,18,✅ Active,18,2024-01-11,Seasonal variations
Nail Care,Nail polish and treatments,38%,25,✅ Active,8,2024-01-10,Steady performers
,,,,,,,
,,,,,,,
🎯 CATEGORY SETUP GUIDE,,,,,,,
,,,,,,,
Step 1: Replace example categories above with YOUR business categories,,,,,,,
Step 2: Set realistic target margins based on your pricing strategy,,,,,,,
Step 3: Adjust reorder days based on supplier lead times,,,,,,,
Step 4: Add new categories as needed (recommended: 4-8 total),,,,,,,
,,,,,,,
💡 BEAUTY INDUSTRY SUGGESTIONS,,,,,,,
,,,,,,,
Popular Categories:,Target Margins:,Typical Reorder Days:,,,,,
• Lipstick & Lip Care,40-55%,14-21 days,,,,,
• Foundation & Concealer,45-60%,21-30 days,,,,,
• Skincare & Treatments,35-50%,30-45 days,,,,,
• Fragrance & Body Care,30-45%,45-60 days,,,,,
• Eye Makeup,40-50%,18-25 days,,,,,
• Nail Care & Polish,35-45%,25-35 days,,,,,
• Tools & Accessories,50-70%,30-45 days,,,,,
• Hair Care Products,35-45%,30-45 days,,,,,
