A,B,C,D,E,F,G,H,I,J,K,L,M,N
💄 MY PRODUCTS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Product Name,Brand,Category,SKU,Supplier,Cost,Retail Price,Margin %,Barcode,Expiry Date,Min Stock,Max Stock,Location,Notes
,,,,,,,,,,,,,
MAC Ruby Woo Lipstick,MAC,Lipstick,MAC-RW-001,Beauty Supply Co,$12.00,$24.00,50%,123456789012,2025-12-31,5,25,Shelf A1,Bestseller
Fenty Beauty Foundation 210,Fenty Beauty,Foundation,FENTY-210,Beauty Supply Co,$18.00,$36.00,50%,234567890123,2025-06-30,3,15,Shelf B2,Popular shade
The Ordinary Niacinamide Serum,The Ordinary,Skincare,TO-NIAC-30,Glamour Wholesale,$4.50,$12.00,62%,345678901234,2025-08-15,10,50,Shelf C3,High margin
Chanel No. 5 Eau de Parfum,Chanel,Fragrance,CHANEL-5-50,Luxury Beauty Inc,$45.00,$89.00,49%,456789012345,2026-12-31,2,8,Cabinet D1,Luxury item
Urban Decay Eyeshadow Palette,Urban Decay,Eye Makeup,UD-NAKED-3,Premium Cosmetics,$25.00,$54.00,54%,567890123456,2025-10-20,2,10,Shelf E4,Seasonal favorite
OPI Nail Polish Classic Red,OPI,Nail Care,OPI-RED-15,Premium Cosmetics,$6.00,$15.00,60%,678901234567,2025-05-30,5,20,Shelf F5,Classic color
Rare Beauty Blush,Rare Beauty,Foundation,RARE-BLUSH-01,Beauty Supply Co,$14.00,$23.00,39%,789012345678,2025-09-15,4,16,Shelf B3,Trending brand
Charlotte Tilbury Lipstick,Charlotte Tilbury,Lipstick,CT-PILLOW-02,Premium Cosmetics,$20.00,$38.00,47%,890123456789,2025-11-30,3,12,Shelf A2,Premium lipstick
Glossier Boy Brow,Glossier,Eye Makeup,GLOSS-BROW-BRN,Glamour Wholesale,$10.00,$18.00,44%,901234567890,2025-07-31,6,24,Shelf E2,Multi-shade
Drunk Elephant Vitamin C,Drunk Elephant,Skincare,DE-VITC-15,Glamour Wholesale,$28.00,$80.00,65%,012345678901,2025-12-15,2,8,Shelf C1,High-end skincare
,,,,,,,,,,,,,
,,,,,,,,,,,,,
🎯 PRODUCT SETUP GUIDE,,,,,,,,,,,,,
,,,,,,,,,,,,,
Step 1: Replace example products with YOUR actual inventory,,,,,,,,,,,,,
Step 2: Use dropdown menus for Category and Supplier (auto-populated),,,,,,,,,,,,,
Step 3: Calculate margins automatically with pricing formulas,,,,,,,,,,,,,
Step 4: Set realistic min/max stock levels for each product,,,,,,,,,,,,,
Step 5: Add location codes to track where items are stored,,,,,,,,,,,,,
,,,,,,,,,,,,,
💡 BEAUTY PRODUCT TIPS,,,,,,,,,,,,,
,,,,,,,,,,,,,
• Use consistent SKU naming conventions,,,,,,,,,,,,,
• Track expiry dates especially for skincare/makeup,,,,,,,,,,,,,
• Set min stock levels based on sales velocity,,,,,,,,,,,,,
• Consider seasonal variations in demand,,,,,,,,,,,,,
• Keep detailed notes on product performance,,,,,,,,,,,,,
,,,,,,,,,,,,,
📊 CATEGORY ANALYSIS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Products,Avg Margin,Avg Cost,Total Value,,,,,,,,,
Lipstick,2,48.5%,$16.00,$856.00,,,,,,,,,
Foundation,2,44.5%,$16.00,$692.00,,,,,,,,,
Skincare,2,63.5%,$16.25,$920.00,,,,,,,,,
Fragrance,1,49.0%,$45.00,$378.00,,,,,,,,,
Eye Makeup,2,49.0%,$17.50,$756.00,,,,,,,,,
Nail Care,1,60.0%,$6.00,$75.00,,,,,,,,,
